2026-05-10 20:27:46 | INFO     | core.engine | MarketEvent ETH: price=2364.75, funding=0.000013, predicted=N/A, oi=532470.66, agg_funding=0.000063, agg_oi=5,007,912,690, exchanges=3, spread=0.0042%, oir=0.054, depth=0.544, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:46 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.77
2026-05-10 20:27:46 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:46 | INFO     | core.engine | MarketEvent SOL: price=96.77, funding=0.000028, predicted=N/A, oi=4700071.24, agg_funding=0.000025, agg_oi=1,153,723,329, exchanges=3, spread=0.0010%, oir=0.021, depth=0.661, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:47 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:47 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81428.50
2026-05-10 20:27:47 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:47 | INFO     | core.engine | MarketEvent BTC: price=81428.50, funding=-0.000007, predicted=N/A, oi=29400.96, agg_funding=0.000023, agg_oi=8,179,576,953, exchanges=3, spread=0.0012%, oir=0.483, depth=0.392, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:47 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.75
2026-05-10 20:27:47 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:47 | INFO     | core.engine | MarketEvent ETH: price=2364.75, funding=0.000013, predicted=N/A, oi=532470.66, agg_funding=0.000063, agg_oi=5,007,912,690, exchanges=3, spread=0.0042%, oir=0.053, depth=0.544, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:47 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.77
2026-05-10 20:27:47 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:47 | INFO     | core.engine | MarketEvent SOL: price=96.77, funding=0.000028, predicted=N/A, oi=4700071.24, agg_funding=0.000025, agg_oi=1,153,723,329, exchanges=3, spread=0.0010%, oir=0.002, depth=0.667, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:48 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:48 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81428.50
2026-05-10 20:27:48 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:48 | INFO     | core.engine | MarketEvent BTC: price=81428.50, funding=-0.000007, predicted=N/A, oi=29400.96, agg_funding=0.000023, agg_oi=8,179,576,953, exchanges=3, spread=0.0012%, oir=0.310, depth=0.367, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:48 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.75
2026-05-10 20:27:48 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:48 | INFO     | core.engine | MarketEvent ETH: price=2364.75, funding=0.000013, predicted=N/A, oi=532470.59, agg_funding=0.000063, agg_oi=5,007,912,690, exchanges=3, spread=0.0042%, oir=-0.074, depth=0.535, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:48 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.75
2026-05-10 20:27:48 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:48 | INFO     | core.engine | MarketEvent SOL: price=96.75, funding=0.000028, predicted=N/A, oi=4700071.24, agg_funding=0.000025, agg_oi=1,153,723,329, exchanges=3, spread=0.0010%, oir=-0.550, depth=0.428, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:48 | INFO     | core.engine | FundingAggregator updated for 3 symbols (exchanges=binance, bybit, okx)
2026-05-10 20:27:49 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:49 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81428.50
2026-05-10 20:27:49 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:49 | INFO     | core.engine | MarketEvent BTC: price=81428.50, funding=-0.000007, predicted=N/A, oi=29400.96, agg_funding=0.000023, agg_oi=8,179,874,720, exchanges=3, spread=0.0012%, oir=0.361, depth=0.380, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:49 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.75
2026-05-10 20:27:49 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:49 | INFO     | core.engine | MarketEvent ETH: price=2364.75, funding=0.000013, predicted=N/A, oi=532470.59, agg_funding=0.000063, agg_oi=5,008,014,523, exchanges=3, spread=0.0042%, oir=-0.056, depth=0.539, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:49 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.74
2026-05-10 20:27:49 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:49 | INFO     | core.engine | MarketEvent SOL: price=96.74, funding=0.000028, predicted=N/A, oi=4700051.66, agg_funding=0.000025, agg_oi=1,153,103,490, exchanges=3, spread=0.0010%, oir=-0.893, depth=0.309, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:50 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:50 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81427.50
